age_band,savings_balance,monthly_surplus,risk_appetite_score,investment_experience,account_tenure_months,lump_sum_amount,regular_saving_amount,pension_contribution_pct,pension_pot_value,years_to_retirement,months_since_review,known_trait_count,conversation_turn,employment_status,channel,segment_id,situation_id,suggestion_id,record_id,party_ref,data_split
3.0,2935.45,,3.11,0.0,8.0,,,,,,,6.0,0.0,1.0,0.0,SEG-INV-003,SIT-INV-003,SUG-INV-003,ea8aa241-9c7f-461f-9e39-c4ed6117b2d6,ML-00801,TRAIN
2.0,12551.41,432.44,4.45,0.0,9.0,,,,,,,10.0,4.0,2.0,0.0,SEG-INV-004,SIT-INV-004,SUG-INV-004,8cadbc09-3f84-4b71-879a-b0a19f34e1f0,ML-00802,TRAIN
3.0,,323.93,2.63,1.0,31.0,,,,,,,7.0,1.0,3.0,1.0,SEG-INV-005,SIT-INV-005,SUG-INV-005,6980e3fb-8c09-4561-bde1-2a055b27b001,ML-00803,TRAIN
2.0,7716.57,320.34,3.87,1.0,6.0,,152.61,,,,,11.0,5.0,1.0,1.0,SEG-INV-006,SIT-INV-006,SUG-INV-006,35f0c596-02ee-4e84-b798-8da3a07f3a4e,ML-00804,TRAIN
3.0,40707.88,717.53,,0.0,46.0,,,,,,,8.0,2.0,1.0,1.0,SEG-SD-001,SIT-SD-001,SUG-SD-001,720063d9-214a-42f0-9b7a-5c87ec2802a4,ML-00805,TRAIN
2.0,12388.32,910.76,1.1,1.0,,,,8.0,,29.0,,12.0,6.0,2.0,0.0,SEG-PEN-001,SIT-PEN-001,SUG-PEN-001,a2115c8b-9859-4a20-9b6b-e55bc0a1896e,ML-00806,TRAIN
2.0,0.0,634.83,2.74,0.0,,,,4.93,,10.0,,12.0,6.0,1.0,0.0,SEG-PEN-002,SIT-PEN-002,SUG-PEN-002,a87673a5-add5-45a0-b3a3-39c0f0f6fef4,ML-00807,TRAIN
3.0,12446.36,404.85,2.17,1.0,,,,6.89,,23.0,,9.0,3.0,1.0,0.0,SEG-PEN-003,SIT-PEN-003,SUG-PEN-003,ff0522f5-7736-4722-9b1b-b093bc638358,ML-00808,TRAIN
4.0,6336.67,332.43,2.17,2.0,,,,,,12.0,,8.0,2.0,1.0,1.0,SEG-DEC-001,SIT-DEC-001,SUG-DEC-001,aaf0e32e-ff65-4a77-9d9c-0944500fdc41,ML-00809,TRAIN
4.0,8047.55,222.3,,0.0,,,,,17070.96,,,7.0,1.0,1.0,1.0,SEG-DEC-002,SIT-DEC-002,SUG-DEC-002,455989b9-07d5-4f5f-af95-3fdc15daf17b,ML-00810,TRAIN
4.0,1000.0,396.32,,1.0,,,,,40169.59,2.0,,6.0,0.0,3.0,1.0,SEG-DEC-003,SIT-DEC-003,SUG-DEC-003,bd53220e-3261-4a65-9e7c-c026b3771ae3,ML-00811,TRAIN
4.0,2500.75,221.06,1.67,1.0,,,,0.0,41634.67,0.0,31.0,9.0,3.0,2.0,1.0,SEG-DEC-004,SIT-DEC-004,SUG-DEC-004,548865ea-c2cc-404f-ba78-872f313021b6,ML-00812,TRAIN
1.0,10000.0,917.28,3.71,1.0,30.0,,,,,,,8.0,2.0,1.0,0.0,SEG-INV-001,SIT-INV-001,SUG-INV-001,cdb96308-a076-45e9-8822-35aba144472f,ML-00813,TRAIN
2.0,5697.32,193.97,3.54,0.0,14.0,,,,,,,11.0,5.0,2.0,0.0,SEG-INV-002,SIT-INV-002,SUG-INV-002,a6c141a4-864b-4684-8714-57e912cff72a,ML-00814,TRAIN
2.0,4663.86,564.94,,0.0,17.0,,,,,,,8.0,2.0,3.0,1.0,SEG-INV-003,SIT-INV-003,SUG-INV-003,e00feb61-d53c-4e91-a134-6876841e38eb,ML-00815,TRAIN
3.0,9704.07,961.66,2.98,0.0,43.0,,,,,,,9.0,3.0,2.0,0.0,SEG-INV-004,SIT-INV-004,SUG-INV-004,6c3cdaf9-d88f-4954-b7db-3dbe47f288e4,ML-00816,TRAIN
2.0,6924.23,630.97,2.29,1.0,67.0,,,,,,,10.0,4.0,3.0,0.0,SEG-INV-005,SIT-INV-005,SUG-INV-005,5b643388-436f-481a-9bb8-b58111d2ad1f,ML-00817,TRAIN
1.0,6559.4,,2.88,0.0,17.0,,154.4,,,,,10.0,4.0,1.0,0.0,SEG-INV-006,SIT-INV-006,SUG-INV-006,9b5a5ff9-6f04-45fd-a203-1fb83bae9800,ML-00818,TRAIN
3.0,55835.97,,2.58,1.0,29.0,,,,,,,9.0,3.0,3.0,0.0,SEG-SD-001,SIT-SD-001,SUG-SD-001,48a73b2b-54b2-4766-bde8-3cb466dd4f9a,ML-00819,TRAIN
2.0,,407.64,2.77,1.0,,,,5.39,,34.0,,6.0,0.0,1.0,1.0,SEG-PEN-001,SIT-PEN-001,SUG-PEN-001,bc3bfd5a-79da-4c47-a732-24a8c7b8b989,ML-00820,TRAIN
1.0,,,1.0,0.0,,,,,,10.0,,8.0,2.0,2.0,1.0,SEG-PEN-002,SIT-PEN-002,SUG-PEN-002,1844294e-37d3-4e2b-951e-c6b98457a984,ML-00821,TRAIN
3.0,9535.68,420.25,1.42,1.0,,,,8.63,,22.0,,7.0,1.0,1.0,0.0,SEG-PEN-003,SIT-PEN-003,SUG-PEN-003,61653669-1f45-497a-8162-b306a8ab8247,ML-00822,TRAIN
4.0,15201.43,,3.7,0.0,,,,,95460.64,,,7.0,1.0,1.0,1.0,SEG-DEC-001,SIT-DEC-001,SUG-DEC-001,5183773c-5eb1-4dd3-9284-d0fa8c06bb0d,ML-00823,TRAIN
5.0,1117.9,704.67,1.22,0.0,,,,,18755.74,5.0,,7.0,1.0,3.0,0.0,SEG-DEC-002,SIT-DEC-002,SUG-DEC-002,5fd8a282-5a6c-40b6-a97a-eb416cf008c7,ML-00824,TRAIN
4.0,,514.41,1.86,0.0,,,,5.59,35551.66,10.0,,6.0,0.0,3.0,0.0,SEG-DEC-003,SIT-DEC-003,SUG-DEC-003,c9c5ca9e-1082-4b46-8939-28217742a01a,ML-00825,TRAIN
5.0,759.65,425.6,2.42,1.0,,,,0.0,34982.67,4.0,24.0,10.0,4.0,3.0,0.0,SEG-DEC-004,SIT-DEC-004,SUG-DEC-004,edec36e7-25eb-4f34-9f40-de38bed7bed4,ML-00826,TRAIN
4.0,20046.4,698.99,4.24,1.0,18.0,,,,,,,8.0,2.0,1.0,0.0,SEG-INV-001,SIT-INV-001,SUG-INV-001,58afeb37-2e98-449e-96ba-429112964f02,ML-00827,TRAIN
1.0,,262.25,1.8,0.0,13.0,,,,,,,9.0,3.0,1.0,1.0,SEG-INV-002,SIT-INV-002,SUG-INV-002,3c76ae98-2efc-4d0b-aa6a-80bb1e20ebf5,ML-00828,TRAIN
2.0,909.6,520.32,3.59,2.0,39.0,,,,,,,8.0,2.0,3.0,1.0,SEG-INV-003,SIT-INV-003,SUG-INV-003,1d3e61ef-bdc5-4b0c-938a-10ee5bffc756,ML-00829,TRAIN
3.0,,,,0.0,19.0,9360.94,,,,,,8.0,2.0,1.0,1.0,SEG-INV-004,SIT-INV-004,SUG-INV-004,463d4963-6c44-401d-b549-d591dad3ebea,ML-00830,TRAIN
2.0,7840.19,661.64,2.98,1.0,38.0,,,,,,,10.0,4.0,1.0,0.0,SEG-INV-005,SIT-INV-005,SUG-INV-005,05ac0e1a-bea8-4461-9873-07002ff8eb69,ML-00831,TRAIN
1.0,6191.97,474.5,2.48,0.0,16.0,,99.6,,,,,6.0,0.0,2.0,0.0,SEG-INV-006,SIT-INV-006,SUG-INV-006,03c4b63f-b90d-4c3e-b6ae-26d446c4f12e,ML-00832,TRAIN
2.0,36833.78,283.37,1.66,0.0,42.0,,,,,,,9.0,3.0,1.0,0.0,SEG-SD-001,SIT-SD-001,SUG-SD-001,543b66dc-3547-4877-9133-20c40b3273a9,ML-00833,TRAIN
3.0,541.87,113.22,2.49,1.0,,,,7.42,,13.0,,10.0,4.0,1.0,0.0,SEG-PEN-001,SIT-PEN-001,SUG-PEN-001,6e9e19ef-9116-42f2-9bdb-c633cce36f8a,ML-00834,TRAIN
1.0,5388.86,267.41,2.18,0.0,,,,9.72,,28.0,,13.0,7.0,1.0,0.0,SEG-PEN-002,SIT-PEN-002,SUG-PEN-002,f1f05942-a86f-47bc-9287-ca09f0d86266,ML-00835,TRAIN
3.0,,679.76,2.23,1.0,,,,8.23,,22.0,,10.0,4.0,2.0,0.0,SEG-PEN-003,SIT-PEN-003,SUG-PEN-003,6b1cf879-3414-4f1f-8d03-c28430b2a446,ML-00836,TRAIN
4.0,6923.48,185.62,3.39,0.0,,,,9.65,5000.0,14.0,,9.0,3.0,3.0,0.0,SEG-DEC-001,SIT-DEC-001,SUG-DEC-001,cd009d0d-c6cf-46de-aa8f-f030baaac1df,ML-00837,TRAIN
4.0,500.0,120.58,2.13,0.0,,,,,13562.19,2.0,,7.0,1.0,2.0,1.0,SEG-DEC-002,SIT-DEC-002,SUG-DEC-002,620e32cd-cf94-4d43-beba-2300a497345c,ML-00838,TRAIN
4.0,19794.44,,,1.0,,,,12.46,5000.0,4.0,,6.0,0.0,2.0,1.0,SEG-DEC-003,SIT-DEC-003,SUG-DEC-003,a86e463a-ff82-4689-9850-618c45867477,ML-00839,TRAIN
4.0,4515.16,,3.74,1.0,,,,0.0,98347.24,,24.0,6.0,0.0,3.0,0.0,SEG-DEC-004,SIT-DEC-004,SUG-DEC-004,d0ede061-089e-41ae-a6b6-e406f3240148,ML-00840,TRAIN
3.0,38960.28,534.05,1.61,0.0,31.0,,,,,,,9.0,3.0,2.0,1.0,SEG-INV-001,SIT-INV-001,SUG-INV-001,19fd2136-70c4-4d4b-a8c1-e179e98b0c4e,ML-00841,TRAIN
2.0,4551.44,,1.73,0.0,20.0,,,,,,,6.0,0.0,1.0,0.0,SEG-INV-002,SIT-INV-002,SUG-INV-002,beda3fc6-8ae5-4459-b627-ef17478fa764,ML-00842,TRAIN
1.0,5859.19,463.55,2.41,1.0,14.0,,,,,,,9.0,3.0,1.0,0.0,SEG-INV-003,SIT-INV-003,SUG-INV-003,067d8874-c338-4520-82ab-86df1b508857,ML-00843,TRAIN
4.0,20826.9,881.62,3.27,0.0,19.0,5000.0,,,,,,13.0,7.0,2.0,1.0,SEG-INV-004,SIT-INV-004,SUG-INV-004,319e7f0d-c89f-46d1-8058-c4456b143946,ML-00844,TRAIN
4.0,21281.61,490.46,,1.0,43.0,,,,,,,6.0,0.0,1.0,1.0,SEG-INV-005,SIT-INV-005,SUG-INV-005,6e089135-e03e-494e-82ad-677eef1fa270,ML-00845,TRAIN
2.0,,306.51,,1.0,35.0,,90.49,,,,,8.0,2.0,1.0,1.0,SEG-INV-006,SIT-INV-006,SUG-INV-006,cec0eb27-45b7-4ad2-b6d1-e85a530fbd24,ML-00846,TRAIN
4.0,,343.59,2.71,1.0,71.0,,,,,,,7.0,1.0,2.0,1.0,SEG-SD-001,SIT-SD-001,SUG-SD-001,f3b84391-7e23-445b-83f9-2a6c6905b623,ML-00847,TRAIN
2.0,5445.21,,1.09,1.0,,,,,,,,7.0,1.0,2.0,1.0,SEG-PEN-001,SIT-PEN-001,SUG-PEN-001,787a5f2a-7861-41d5-af8b-f24eb2493271,ML-00848,TRAIN
3.0,,,3.46,0.0,,,,,,19.0,,8.0,2.0,1.0,0.0,SEG-PEN-002,SIT-PEN-002,SUG-PEN-002,71564bff-e4d6-47cf-a3ae-d18daf01a0c4,ML-00849,TRAIN
1.0,1259.82,,,0.0,,,,,,6.0,,8.0,2.0,1.0,0.0,SEG-PEN-003,SIT-PEN-003,SUG-PEN-003,88f045c0-cf5d-4710-8967-9b123b71dee3,ML-00850,TRAIN
4.0,1000.0,50.0,2.62,0.0,,,,8.57,51346.63,9.0,,10.0,4.0,2.0,1.0,SEG-DEC-001,SIT-DEC-001,SUG-DEC-001,f30e7b53-4b93-454f-9078-1c732fdf5e19,ML-00851,TRAIN
4.0,7938.74,248.84,1.39,0.0,,,,,20817.84,2.0,,9.0,3.0,1.0,1.0,SEG-DEC-002,SIT-DEC-002,SUG-DEC-002,d2a71eff-8332-4416-91ec-1e15b780388b,ML-00852,TRAIN
4.0,,584.5,3.39,0.0,,,,10.18,,,,8.0,2.0,3.0,1.0,SEG-DEC-003,SIT-DEC-003,SUG-DEC-003,e0e0956c-2ae0-4904-be2b-96e46d6a3d7c,ML-00853,TRAIN
5.0,1609.1,451.06,1.57,1.0,,,,0.0,66435.59,2.0,36.0,10.0,4.0,3.0,0.0,SEG-DEC-004,SIT-DEC-004,SUG-DEC-004,ac67d23c-3aaf-4e34-9409-56441aad1372,ML-00854,TRAIN
2.0,20861.55,511.83,2.1,0.0,29.0,,,,,,,9.0,3.0,2.0,1.0,SEG-INV-001,SIT-INV-001,SUG-INV-001,8f078385-6a81-4beb-b721-8c208773022d,ML-00855,TRAIN
1.0,5471.97,205.9,1.93,0.0,26.0,,,,,,,6.0,0.0,1.0,0.0,SEG-INV-002,SIT-INV-002,SUG-INV-002,1c3326ac-2fe3-4917-a267-b2e341d8730a,ML-00856,TRAIN
2.0,6070.46,150.3,2.23,0.0,26.0,,,,,,,11.0,5.0,1.0,0.0,SEG-INV-003,SIT-INV-003,SUG-INV-003,a876963b-3c69-4f8e-aedd-81e58a0f904e,ML-00857,TRAIN
4.0,16671.44,372.12,4.22,0.0,19.0,26484.89,,,,,,12.0,6.0,1.0,0.0,SEG-INV-004,SIT-INV-004,SUG-INV-004,54f1f6b8-f3e1-4e6d-8e39-5c60f401c920,ML-00858,TRAIN
4.0,7119.65,633.25,,1.0,42.0,,,,,,,8.0,2.0,3.0,0.0,SEG-INV-005,SIT-INV-005,SUG-INV-005,d731d8ef-0ffd-4e3a-8eef-42dff57a886b,ML-00859,TRAIN
1.0,4803.83,245.89,2.61,0.0,25.0,,101.77,,,,,12.0,6.0,1.0,0.0,SEG-INV-006,SIT-INV-006,SUG-INV-006,872c3b5a-463f-478f-9db3-855fe55b3e34,ML-00860,TRAIN
3.0,9535.91,,,0.0,51.0,,,,,,,7.0,1.0,3.0,1.0,SEG-SD-001,SIT-SD-001,SUG-SD-001,d44ca236-f8f0-4052-883a-723063fd0884,ML-00861,TRAIN
2.0,1995.45,396.33,,0.0,,,,,,18.0,,6.0,0.0,1.0,1.0,SEG-PEN-001,SIT-PEN-001,SUG-PEN-001,22e5aafb-bd7c-4330-bfee-7db66f1c399e,ML-00862,TRAIN
1.0,4067.15,,2.18,1.0,,,,6.66,,27.0,,10.0,4.0,1.0,0.0,SEG-PEN-002,SIT-PEN-002,SUG-PEN-002,d4728862-6e9c-4433-97c5-a926494aaf4b,ML-00863,TRAIN
3.0,5663.66,781.43,1.61,0.0,,,,6.49,,35.0,,13.0,7.0,1.0,0.0,SEG-PEN-003,SIT-PEN-003,SUG-PEN-003,804ea8f6-e269-4e2a-8753-d5de4e8aa0ce,ML-00864,TRAIN
4.0,1000.0,457.35,1.53,1.0,,,,,34272.46,3.0,,7.0,1.0,3.0,0.0,SEG-DEC-001,SIT-DEC-001,SUG-DEC-001,c31f93aa-3efd-4502-9809-a755d2af59d0,ML-00865,TRAIN
5.0,,,1.37,1.0,,,,,,1.0,,7.0,1.0,2.0,0.0,SEG-DEC-002,SIT-DEC-002,SUG-DEC-002,f210897d-9249-4c49-a0dd-7f86bec6e6df,ML-00866,TRAIN
4.0,,249.04,2.19,1.0,,,,10.68,28264.85,1.0,,7.0,1.0,3.0,0.0,SEG-DEC-003,SIT-DEC-003,SUG-DEC-003,e593016a-5a91-4621-b2f7-736e39627fff,ML-00867,TRAIN
4.0,14036.81,366.89,1.63,1.0,,,,,,6.0,18.0,7.0,1.0,2.0,1.0,SEG-DEC-004,SIT-DEC-004,SUG-DEC-004,c8dde587-77d4-46d0-a07d-930caf8fd7f4,ML-00868,TRAIN
3.0,22687.44,378.26,2.08,1.0,28.0,,,,,,,7.0,1.0,1.0,0.0,SEG-INV-001,SIT-INV-001,SUG-INV-001,8946d3b5-05ae-40e2-b465-9f4901433b38,ML-00869,TRAIN
1.0,,312.57,,0.0,26.0,,,,,,,6.0,0.0,2.0,0.0,SEG-INV-002,SIT-INV-002,SUG-INV-002,b6508318-a8b1-4804-925a-435d88fb7f27,ML-00870,TRAIN
2.0,6683.26,481.89,,1.0,10.0,,,,,,,6.0,0.0,1.0,0.0,SEG-INV-003,SIT-INV-003,SUG-INV-003,61b7b50d-ab36-4feb-8dd6-a3aba89e9076,ML-00871,TRAIN
2.0,41325.57,,,1.0,31.0,,,,,,,7.0,1.0,2.0,0.0,SEG-INV-004,SIT-INV-004,SUG-INV-004,7b389805-ba68-47dd-9de5-a795b9ef8b01,ML-00872,TRAIN
1.0,14215.8,535.64,3.42,3.0,22.0,,,,,,,11.0,5.0,1.0,1.0,SEG-INV-005,SIT-INV-005,SUG-INV-005,0b4108b1-fa72-4e60-a7b3-44601e1b8fe0,ML-00873,TRAIN
1.0,6566.96,460.49,,0.0,35.0,,147.18,,,,,6.0,0.0,1.0,0.0,SEG-INV-006,SIT-INV-006,SUG-INV-006,3eac84be-9d9e-4b6b-b9d9-0d3a278a04b6,ML-00874,TRAIN
3.0,53609.87,816.85,4.01,2.0,21.0,,,,,,,9.0,3.0,1.0,0.0,SEG-SD-001,SIT-SD-001,SUG-SD-001,3efe1ff1-facf-4cb8-969a-81fcffe03260,ML-00875,TRAIN
2.0,7213.4,372.94,3.52,1.0,,,,7.62,,,,6.0,0.0,1.0,1.0,SEG-PEN-001,SIT-PEN-001,SUG-PEN-001,6d47e22d-f03d-4a35-8662-81083c3d220d,ML-00876,TRAIN
3.0,2305.64,488.12,2.49,1.0,,,,10.57,,27.0,,11.0,5.0,1.0,0.0,SEG-PEN-002,SIT-PEN-002,SUG-PEN-002,6d2d2a61-e421-4f57-b6a1-071de8e9cb33,ML-00877,TRAIN
3.0,922.93,541.82,1.62,1.0,,,,10.23,,17.0,,10.0,4.0,2.0,0.0,SEG-PEN-003,SIT-PEN-003,SUG-PEN-003,8a04f77b-fc44-4bd0-9bae-35229957d57d,ML-00878,TRAIN
3.0,,,,2.0,,,,11.15,87646.53,12.0,,6.0,0.0,3.0,1.0,SEG-DEC-001,SIT-DEC-001,SUG-DEC-001,34c5fd07-f830-4159-859d-4f44cc415a3f,ML-00879,TRAIN
4.0,,50.0,,0.0,,,,,11328.55,,,7.0,1.0,3.0,1.0,SEG-DEC-002,SIT-DEC-002,SUG-DEC-002,46bdcdd8-8420-480a-9c34-73e8cf101663,ML-00880,TRAIN
4.0,33574.75,447.52,2.54,0.0,,,,13.17,83167.3,,,8.0,2.0,3.0,1.0,SEG-DEC-003,SIT-DEC-003,SUG-DEC-003,d0ce8942-24d6-4690-bf66-2011bc97278f,ML-00881,TRAIN
4.0,27831.73,50.0,2.82,1.0,,,,0.0,20092.9,3.0,26.0,11.0,5.0,2.0,1.0,SEG-DEC-004,SIT-DEC-004,SUG-DEC-004,0ac64d14-f00c-4942-9b89-bb1bf9b608d0,ML-00882,TRAIN
2.0,27175.68,287.1,2.48,1.0,37.0,,,,,,,9.0,3.0,3.0,0.0,SEG-INV-001,SIT-INV-001,SUG-INV-001,3194f3e3-843a-46e7-8894-a55f2db34d8d,ML-00883,TRAIN
2.0,9841.55,526.02,1.75,0.0,20.0,,,,,,,10.0,4.0,2.0,0.0,SEG-INV-002,SIT-INV-002,SUG-INV-002,005a950b-1408-48a4-9209-5d4b2fda5d79,ML-00884,TRAIN
1.0,500.0,161.87,1.0,1.0,11.0,,,,,,,11.0,5.0,1.0,0.0,SEG-INV-003,SIT-INV-003,SUG-INV-003,29d12c73-731f-438c-8883-595c31c75974,ML-00885,TRAIN
4.0,11500.21,220.91,,0.0,21.0,14178.68,,,,,,7.0,1.0,3.0,1.0,SEG-INV-004,SIT-INV-004,SUG-INV-004,5dbf9949-f8c6-4fe5-89f1-3677d1d1dc7b,ML-00886,TRAIN
3.0,1000.0,116.85,,2.0,28.0,,,,,,,7.0,1.0,2.0,0.0,SEG-INV-005,SIT-INV-005,SUG-INV-005,46be7a23-8f07-43e2-9714-162134dae487,ML-00887,TRAIN
2.0,4698.88,497.98,1.13,1.0,22.0,,108.06,,,,,12.0,6.0,1.0,0.0,SEG-INV-006,SIT-INV-006,SUG-INV-006,bc46e621-4235-48b1-844c-f55f125bfb6b,ML-00888,TRAIN
2.0,38536.44,592.31,2.83,0.0,36.0,,,,,,,11.0,5.0,2.0,1.0,SEG-SD-001,SIT-SD-001,SUG-SD-001,47ea3734-50a7-4205-bdc1-83659e787135,ML-00889,TRAIN
3.0,3856.05,,4.33,1.0,,,,2.35,,16.0,,9.0,3.0,1.0,1.0,SEG-PEN-001,SIT-PEN-001,SUG-PEN-001,df42cfa9-6b39-4d38-a01c-92f679cfc8d7,ML-00890,TRAIN
3.0,3718.54,591.43,,0.0,,,,,,,,6.0,0.0,1.0,0.0,SEG-PEN-002,SIT-PEN-002,SUG-PEN-002,5eaea90f-f388-43da-9312-1794ba9ed18c,ML-00891,TRAIN
1.0,4731.43,620.88,2.58,0.0,,,,9.46,,21.0,,11.0,5.0,1.0,1.0,SEG-PEN-003,SIT-PEN-003,SUG-PEN-003,2e02a586-4da6-462b-b0e3-5349f6afeb50,ML-00892,TRAIN
4.0,,429.04,3.39,1.0,,,,9.78,85608.65,4.0,,10.0,4.0,3.0,0.0,SEG-DEC-001,SIT-DEC-001,SUG-DEC-001,8fbdc799-161d-4a3c-b19c-5a40ad3783bf,ML-00893,TRAIN
4.0,7230.35,277.99,2.86,0.0,,,,,5000.0,2.0,,11.0,5.0,3.0,0.0,SEG-DEC-002,SIT-DEC-002,SUG-DEC-002,c1ad0b48-75df-49c3-aec9-c05b9e95f6e3,ML-00894,TRAIN
4.0,20734.3,573.47,1.71,0.0,,,,8.93,66974.18,6.0,,11.0,5.0,3.0,0.0,SEG-DEC-003,SIT-DEC-003,SUG-DEC-003,85186548-e1f5-4a18-97a1-36895313e21a,ML-00895,TRAIN
4.0,8842.99,577.24,1.42,1.0,,,,0.0,48139.29,3.0,18.0,12.0,6.0,3.0,0.0,SEG-DEC-004,SIT-DEC-004,SUG-DEC-004,5ce1f9ae-5900-447d-bb9a-f147b7b41de0,ML-00896,TRAIN
2.0,26868.61,215.76,2.45,2.0,22.0,,,,,,,10.0,4.0,3.0,0.0,SEG-INV-001,SIT-INV-001,SUG-INV-001,295a1884-05e5-4c23-b6d7-b6072e25f4bb,ML-00897,TRAIN
1.0,500.0,317.75,1.18,0.0,9.0,,,,,,,9.0,3.0,1.0,1.0,SEG-INV-002,SIT-INV-002,SUG-INV-002,a48b6b45-2796-4ad0-a066-b875ceb76d4d,ML-00898,TRAIN
1.0,5384.53,348.56,1.87,1.0,12.0,,,,,,,11.0,5.0,3.0,1.0,SEG-INV-003,SIT-INV-003,SUG-INV-003,ea3e1e55-5fe6-4360-9d59-038fe9b998e9,ML-00899,TRAIN
3.0,2000.0,887.63,1.93,0.0,28.0,10190.33,,,,,,9.0,3.0,2.0,1.0,SEG-INV-004,SIT-INV-004,SUG-INV-004,11d4160e-049e-47ca-bea0-69187d5fed2a,ML-00900,TRAIN
1.0,7770.08,409.81,1.47,3.0,39.0,,,,,,,8.0,2.0,2.0,1.0,SEG-INV-005,SIT-INV-005,SUG-INV-005,ddeee826-bb3e-4c0e-9197-02661175f264,ML-00901,TRAIN
4.0,7786.09,556.46,1.06,1.0,6.0,,,,,,,9.0,3.0,1.0,0.0,SEG-INV-006,SIT-INV-006,SUG-INV-006,13923269-9d48-4a13-bf76-8ebb492a9219,ML-00902,TRAIN
5.0,21249.29,524.13,2.94,2.0,37.0,,,,,,,12.0,6.0,3.0,0.0,SEG-SD-001,SIT-SD-001,SUG-SD-001,001f1741-b64f-48e7-9441-013c68f19b00,ML-00903,TRAIN
3.0,15862.07,,,0.0,,,,7.61,,,,8.0,2.0,1.0,0.0,SEG-PEN-001,SIT-PEN-001,SUG-PEN-001,55d1b959-afc8-4089-9b0f-522ee22a3db1,ML-00904,TRAIN
3.0,5811.44,266.28,1.96,0.0,,,,9.52,,23.0,,12.0,6.0,1.0,1.0,SEG-PEN-002,SIT-PEN-002,SUG-PEN-002,e5638cdf-c264-41db-98e3-742ad0d5a49d,ML-00905,TRAIN
3.0,2618.57,645.04,2.87,0.0,,,,9.88,,21.0,,11.0,5.0,1.0,0.0,SEG-PEN-003,SIT-PEN-003,SUG-PEN-003,3ee2bb49-cb4e-4010-9daf-fbc3949a8d39,ML-00906,TRAIN
4.0,,,,1.0,,,,,61766.49,17.0,,7.0,1.0,3.0,1.0,SEG-DEC-001,SIT-DEC-001,SUG-DEC-001,7f2636fe-6c00-415a-a04b-a03261b5780c,ML-00907,TRAIN
4.0,,651.06,1.0,0.0,,,,,25490.16,1.0,,10.0,4.0,3.0,1.0,SEG-DEC-002,SIT-DEC-002,SUG-DEC-002,84d1ae78-4998-4b1e-80ed-771e41a78067,ML-00908,TRAIN
5.0,20540.1,,1.0,1.0,,,,7.5,75702.68,3.0,,9.0,3.0,3.0,1.0,SEG-DEC-003,SIT-DEC-003,SUG-DEC-003,ee029b5c-7a2a-4fa9-b505-f520c5d664f5,ML-00909,TRAIN
4.0,6367.93,50.0,1.0,2.0,,,,0.0,65716.29,4.0,25.0,11.0,5.0,3.0,0.0,SEG-DEC-004,SIT-DEC-004,SUG-DEC-004,7b22f29b-7aed-402f-b9c9-57ebb8a681a1,ML-00910,TRAIN
3.0,10000.0,456.3,2.93,1.0,28.0,,,,,,,7.0,1.0,1.0,0.0,SEG-INV-001,SIT-INV-001,SUG-INV-001,727219dc-5df6-4bda-b163-9412d0c51517,ML-00911,TRAIN
1.0,8163.63,197.69,2.1,0.0,21.0,,,,,,,9.0,3.0,1.0,0.0,SEG-INV-002,SIT-INV-002,SUG-INV-002,6e406a36-849e-461a-9064-94d48fca5f50,ML-00912,TRAIN
2.0,,100.0,1.0,0.0,25.0,,,,,,,8.0,2.0,3.0,0.0,SEG-INV-003,SIT-INV-003,SUG-INV-003,2d126afb-4299-43ba-9038-9b5f0c0b2e19,ML-00913,TRAIN
2.0,19552.06,352.79,,2.0,43.0,34098.43,,,,,,7.0,1.0,1.0,1.0,SEG-INV-004,SIT-INV-004,SUG-INV-004,2eaefc81-3883-42e2-ab19-1d771a113f44,ML-00914,TRAIN
1.0,11380.65,196.32,2.45,1.0,31.0,,,,,,,11.0,5.0,1.0,1.0,SEG-INV-005,SIT-INV-005,SUG-INV-005,e2397b1c-6455-490c-b22a-8335b0b12a7c,ML-00915,TRAIN
2.0,4223.77,638.41,2.36,0.0,6.0,,50.0,,,,,6.0,0.0,2.0,0.0,SEG-INV-006,SIT-INV-006,SUG-INV-006,b9eebb02-dbe5-4106-b53c-542c9fefa81b,ML-00916,TRAIN
3.0,39800.16,702.92,3.63,1.0,12.0,,,,,,,13.0,7.0,3.0,0.0,SEG-SD-001,SIT-SD-001,SUG-SD-001,af8cf958-c219-4f74-a334-abc7ba60eea7,ML-00917,TRAIN
3.0,5024.64,524.39,2.2,1.0,,,,6.87,,23.0,,11.0,5.0,1.0,0.0,SEG-PEN-001,SIT-PEN-001,SUG-PEN-001,f3756b6d-9042-44d3-a279-e94bf0d760d9,ML-00918,TRAIN
2.0,,668.79,2.31,0.0,,,,7.46,,28.0,,9.0,3.0,1.0,0.0,SEG-PEN-002,SIT-PEN-002,SUG-PEN-002,37fc28d4-f5a0-4fb7-96c5-f922e7b1f5a1,ML-00919,TRAIN
2.0,,,2.28,0.0,,,,8.75,,20.0,,9.0,3.0,1.0,1.0,SEG-PEN-003,SIT-PEN-003,SUG-PEN-003,3d1db562-e441-4fe3-bbcf-44817db2b80c,ML-00920,TRAIN
